Num_Acc,catr,circ,nbv,prof,plan,larrout,surf,infra,situ,vma
202300000154,3,3,2.0,1,2,-1.0,1,0,1,50
202300000155,4,2,2.0,2,1,-1.0,1,0,1,30
202300000155,4,-1,2.0,2,1,-1.0,1,0,1,30
202300000156,4,2,2.0,2,1,-1.0,1,2,1,50
202300000157,3,2,2.0,2,4,-1.0,2,0,1,50
202300000158,4,2,2.0,1,1,-1.0,2,0,1,50
202300000159,3,2,2.0,2,3,5.0,2,0,1,80
202300000160,4,2,2.0,1,1,-1.0,1,0,1,50
202300000161,7,2,2.0,1,1,-1.0,1,0,1,50
202300000162,4,2,2.0,1,1,-1.0,2,0,1,50
202300000163,4,2,2.0,1,1,-1.0,2,0,1,50
202300000164,3,3,1.0,1,3,3.5,2,0,1,50
202300000165,3,3,4.0,1,1,-1.0,1,0,1,70
202300000166,2,2,2.0,1,1,-1.0,2,9,1,50
202300000167,4,3,2.0,1,1,-1.0,1,0,1,70
202300000168,4,-1,2.0,1,1,-1.0,1,0,1,50
202300000168,4,2,2.0,1,1,-1.0,1,0,1,50
202300000169,3,2,2.0,1,1,7.0,1,0,1,70
202300000169,3,-1,-1.0,-1,-1,-1.0,-1,-1,-1,-1
202300000170,4,2,3.0,1,1,-1.0,1,0,1,50
202300000171,7,2,2.0,1,1,5.5,2,0,1,50
202300000172,4,-1,1.0,1,1,-1.0,1,6,1,30
202300000173,3,2,2.0,2,2,7.0,2,0,3,90
202300000174,4,2,2.0,1,1,-1.0,1,0,1,50
202300000174,4,2,1.0,1,1,-1.0,1,0,1,50
202300000175,3,2,3.0,1,1,7.0,2,0,1,80
202300000176,4,1,1.0,1,1,-1.0,1,0,1,50
202300000177,4,2,2.0,1,1,-1.0,1,0,1,50
202300000177,4,2,3.0,1,1,-1.0,1,0,1,50
202300000178,3,2,2.0,1,1,5.5,1,9,1,50
202300000179,4,2,0.0,2,1,-1.0,1,0,1,50
202300000180,4,2,2.0,1,1,-1.0,1,0,1,50
202300000181,4,1,2.0,1,2,-1.0,1,5,8,50
202300000181,4,-1,2.0,1,1,-1.0,1,0,3,50
202300000182,3,2,2.0,1,1,-1.0,1,0,1,50
202300000182,3,2,2.0,1,1,5.5,1,0,5,50
202300000183,3,2,2.0,1,1,5.0,6,0,3,80
202300000184,4,2,2.0,1,1,-1.0,1,0,1,50
202300000185,7,1,2.0,1,1,-1.0,1,0,1,50
202300000186,1,-1,2.0,1,1,13.5,1,0,1,50
202300000187,3,2,2.0,2,4,-1.0,1,0,1,50
202300000188,1,-1,3.0,1,1,-1.0,1,0,1,90
202300000189,4,2,2.0,1,1,-1.0,1,0,1,50
202300000190,4,2,2.0,1,1,-1.0,1,0,1,50
202300000190,4,1,2.0,1,1,-1.0,1,0,1,50
202300000191,1,-1,2.0,1,1,-1.0,1,0,1,90
202300000192,3,2,2.0,1,3,-1.0,2,0,4,50
202300000193,2,3,6.0,1,1,13.5,2,0,1,90
202300000194,4,2,2.0,1,1,-1.0,1,0,1,50
202300000195,1,3,4.0,1,1,10.0,2,0,1,130
202300000196,4,2,2.0,1,1,-1.0,1,0,1,30
202300000197,4,1,2.0,1,1,-1.0,1,0,1,50
202300000198,1,3,3.0,1,1,14.0,1,0,1,110
202300000199,4,2,2.0,1,1,-1.0,1,0,1,30
202300000199,4,1,1.0,1,1,-1.0,1,0,1,30
202300000200,3,2,2.0,1,2,-1.0,1,0,1,50
202300000201,3,3,2.0,1,2,5.0,1,0,1,90
202300000202,4,1,1.0,2,4,-1.0,1,0,5,30
202300000203,4,-1,1.0,1,1,-1.0,1,0,1,50
202300000203,4,1,1.0,1,1,-1.0,1,0,5,30
202300000204,1,3,6.0,1,1,21.0,1,0,1,90
202300000205,3,2,2.0,1,1,-1.0,1,0,1,50
202300000206,3,2,2.0,1,1,-1.0,1,0,1,50
202300000207,1,1,1.0,2,3,-1.0,6,3,1,50
202300000208,1,3,8.0,1,1,-1.0,1,0,1,110
202300000209,3,2,2.0,1,1,-1.0,1,0,1,30
202300000209,3,2,2.0,1,1,-1.0,1,5,6,30
202300000210,3,2,2.0,1,1,-1.0,1,0,1,50
202300000210,3,2,0.0,1,1,-1.0,1,0,1,50
202300000211,3,3,4.0,1,1,-1.0,1,0,1,50
202300000212,3,2,2.0,2,1,7.0,1,0,1,50
202300000213,1,1,2.0,1,2,-1.0,1,3,1,70
202300000214,4,2,2.0,2,1,-1.0,2,0,1,50
202300000215,3,3,0.0,1,1,-1.0,2,0,1,30
202300000216,4,1,1.0,1,2,-1.0,1,0,1,30
202300000217,4,1,4.0,1,1,-1.0,1,0,1,30
202300000217,4,3,6.0,1,1,-1.0,1,0,1,50
202300000218,1,3,3.0,1,1,13.5,1,0,1,90
202300000219,3,1,1.0,1,1,5.0,1,0,1,50
202300000219,3,3,4.0,1,1,5.0,1,0,1,50
202300000220,4,2,2.0,1,1,-1.0,2,4,1,50
202300000220,4,2,2.0,1,1,-1.0,2,4,6,50
202300000221,3,2,2.0,1,3,7.0,2,0,1,80
202300000222,3,2,2.0,1,1,-1.0,2,8,1,50
202300000222,3,3,5.0,1,1,-1.0,2,8,1,50
202300000223,4,1,3.0,1,1,-1.0,2,0,1,50
202300000224,3,2,2.0,1,1,-1.0,1,0,1,50
202300000225,4,2,2.0,1,1,-1.0,2,0,1,50
202300000225,4,1,3.0,1,1,-1.0,2,0,1,50
202300000226,3,3,5.0,1,1,-1.0,1,0,1,50
202300000227,4,2,3.0,1,1,-1.0,1,0,1,50
202300000228,3,3,4.0,1,1,-1.0,2,0,1,50
202300000229,4,2,2.0,1,1,-1.0,1,0,1,50
202300000229,4,3,2.0,1,1,-1.0,1,0,1,50
202300000230,4,2,3.0,1,1,-1.0,1,0,1,30
202300000230,4,2,4.0,1,1,-1.0,1,0,1,50
202300000231,4,2,3.0,2,1,-1.0,1,0,1,50
202300000232,3,2,2.0,1,1,7.0,1,0,1,80
202300000232,3,2,-1.0,1,1,-1.0,1,0,1,80
202300000233,2,2,2.0,1,1,-1.0,1,0,1,70
202300000234,4,2,2.0,1,1,-1.0,1,0,1,50
202300000235,3,3,4.0,1,1,-1.0,2,0,1,50
202300000235,3,3,4.0,1,1,-1.0,2,0,1,-1
202300000236,4,2,2.0,1,2,-1.0,1,0,1,30
202300000237,2,2,2.0,1,1,-1.0,1,0,1,70
202300000238,3,3,4.0,1,1,-1.0,1,0,1,50
202300000238,3,1,1.0,1,1,-1.0,1,0,1,50
202300000239,2,2,4.0,1,1,-1.0,1,6,8,30
202300000240,4,2,3.0,2,2,-1.0,1,5,1,30
202300000240,4,2,2.0,2,1,-1.0,1,5,1,30
202300000241,3,-1,4.0,1,1,-1.0,1,0,1,50
202300000242,4,1,2.0,1,1,-1.0,1,0,8,50
202300000242,4,2,2.0,1,1,-1.0,1,0,1,50
202300000243,3,2,2.0,1,1,5.5,1,0,1,50
202300000244,4,3,2.0,1,1,-1.0,1,0,1,50
202300000244,4,2,2.0,1,1,-1.0,1,0,1,-1
202300000245,7,1,1.0,1,1,-1.0,2,0,1,50
202300000245,7,1,1.0,1,1,-1.0,2,0,1,30
202300000246,4,2,2.0,1,1,-1.0,1,0,1,50
202300000247,3,3,6.0,1,1,-1.0,2,0,1,50
202300000248,4,3,4.0,1,1,-1.0,1,0,1,50
202300000249,4,2,2.0,1,1,-1.0,2,5,1,30
202300000250,4,2,2.0,1,1,-1.0,1,0,1,50
202300000251,4,2,2.0,1,1,-1.0,1,0,1,-1
